trans_date;trans_time.2;cc_num;merchant;category;amt;first name;surname;gender;street;city;state;zip;city_pop;job;dob;trans_num;unix_time;merch_lat;merch_long;is_fraud
2019/01/01;00:00:18;2703186189652095;fraud_Rippin, Kub and Mann;misc_net;4.97;Jennifer;Banks;F;561 Perry Cove;Moravian Falls;NC;28654;3495;Psychologist, counselling;1988-03-09;0b242abb623afc578575680df30655b9;1325376018;36.011293;-82.048315;0
2019/01/02;00:04:32;370348764075623;fraud_Schroeder, Hauck and Treutel;entertainment;12.77;Christopher;Gomez;M;950 Dunn Squares;Tickfaw;LA;70466;8512;Accountant, chartered public finance;1951-09-03;a02738dec0e4fcdc20017689c22cf6a1;1325462672;30.251737;-90.714349;0
2019/01/03;00:00:04;377026671291680;fraud_Cassin-Harvey;grocery_net;32.31;Jackie;Davis;F;1898 Parker Fork Apt. 057;Redford;MO;63665;241;Investment analyst;1974-10-27;7be1ed853517a112484a8a8c0a2575bc;1325548804;36.88722;-91.047508;0
2019/01/04;00:02:31;4334230547694630;fraud_Kihn, Abernathy and Douglas;shopping_net;8.64;Scott;Martin;M;7483 Navarro Flats;Freedom;WY;83120;471;Education officer, museum;1967-08-02;edc5115864ef67225eb6ee3d10b9eccf;1325635351;43.23123;-110.805255;0
2019/01/05;00:00:56;4451438912406400;fraud_Prohaska-Murray;gas_transport;47.93;Cheryl;Morgan;F;7535 Amanda Manors Suite 293;Norman;AR;71960;1383;Manufacturing engineer;1999-09-11;0727732924394c91394845bc5fd5ec21;1325721656;34.390699;-93.594148;0
2019/01/06;00:00:55;5359543825610251;fraud_Hackett-Lueilwitz;grocery_pos;50.53;Michael;Francis;M;1833 Jeanette Stravenue;Belgrade;MT;59714;18182;Engineer, drilling;1975-06-29;a166eec6e00955b1824c56fd64af3071;1325808055;46.456022999999995;-110.448559;0
2019/01/07;00:00:39;3595192916105588;fraud_Schaefer, McGlynn and Bosco;gas_transport;78.58;Dustin;Roberts;M;3283 James Station;Fayetteville;NC;28314;238602;Scientist, research (maths);1993-05-14;9e598f4a8d4b60ecde531ef98dbdccd4;1325894439;34.540934;-78.94260600000001;0
2019/01/08;00:00:08;4247921790666;fraud_Stroman, Hudson and Erdman;gas_transport;69.44;Judith;Moss;F;46297 Benjamin Plains Suite 703;Washington Court House;OH;43160;22305;Television floor manager;1939-03-09;26ebdd0c5dbc9f6dd5a0ce07c081cf86;1325980808;40.298578000000006;-84.375656;0
2019/01/09;00:02:28;6011109736646996;fraud_Wuckert-Walter;grocery_net;64.56;Rebecca;Erickson;F;594 Berry Lights Apt. 392;Wilmington;NC;28405;186140;English as a second language teacher;1983-02-08;27c67d37ab434c95545a98d782a0608a;1326067348;33.879469;-78.591543;0
2019/01/10;00:02:50;30143713661454;fraud_Stehr, Jewess and Schimmel;misc_net;54.43;Nicholas;Thornton;M;5270 Megan Burg Suite 756;Halma;MN;56729;140;Embryologist, clinical;1942-01-06;62179e073ea358b4d780655e7dff396b;1326153770;47.74688;-96.95049399999999;0
